ring,rastrigin,1,8388608,100,500,42,18743.183594,38.904510,35458.542969,37246.976562,91487.609375,84.735428
fc,rastrigin,1,8388608,100,500,42,19081.925781,38.790691,35421.207031,31944.781250,86486.703125,60.849743
ring,rastrigin,2,8388608,100,500,42,18195.728516,38.395504,35456.796875,55448.714844,109139.640625,51.84203
fc,rastrigin,2,8388608,100,500,42,19027.435547,38.710003,35471.707031,53538.132812,108075.984375,60.798637
ring,rastrigin,4,8388608,100,500,42,18486.861328,38.597141,35430.074219,39820.765625,93776.296875,46.860104
fc,rastrigin,4,8388608,100,500,42,19418.880859,38.730587,35445.164062,37637.593750,92540.367188,53.212624
ring,rastrigin,8,8388608,100,500,42,18313.841797,38.238239,35434.066406,46807.691406,100593.843750,43.454998
fc,rastrigin,8,8388608,100,500,42,18426.773438,38.458965,35522.179688,221780.125000,275767.531250,48.17001
ring,rastrigin,16,8388608,100,500,42,18669.876953,38.229679,35447.246094,47083.574219,101238.921875,43.262115
fc,rastrigin,16,8388608,100,500,42,18322.552734,37.555763,35507.371094,511807.750000,565675.250000,39.894176
