impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,rastrigin,2097152,30,500,42,1127.533691,14.805867,2887.499512,4029.839111,0.9949646,219.611285,156.121766
gpu,rastrigin,8388608,30,500,42,4135.937500,39.442097,11639.117188,15814.496094,0,223.844791,159.131368
gpu,rastrigin,524288,100,500,42,1422.403198,6.854178,2196.638184,3625.895508,165.43332,202.722824,144.595452
gpu,rastrigin,2097152,100,500,42,5394.815918,14.931083,8829.588867,14239.335938,46.940701,206.484847,147.278778
gpu,rastrigin,131072,300,500,42,1234.024536,4.890949,1577.245605,2816.161133,1402.27,195.572809,139.628374
gpu,rastrigin,524288,300,500,42,4767.228027,6.992876,6308.994141,11083.214844,1158.8962,198.774291,141.914059
