topology,evaluator,n_islands,N,D,iters,seed,eval_ms,reduce_ms,update_ms,sync_ms,total_ms,final_gbest
ring,rastrigin,1,4096,30,500,42,7.308008,3.571426,4.130469,73.751251,88.761154,16.91433
fc,rastrigin,1,4096,30,500,42,7.299909,3.521729,4.128708,69.468010,84.418358,16.914337
ring,rastrigin,2,2048,30,500,42,7.470344,2.696033,3.824801,106.328194,120.319374,16.914291
fc,rastrigin,2,2048,30,500,42,7.812423,2.691713,3.849379,90.262627,104.616142,16.914291
ring,rastrigin,4,1024,30,500,42,7.349355,2.827267,3.686274,113.121704,126.984596,13.92943
fc,rastrigin,4,1024,30,500,42,7.531716,2.789538,3.677955,97.494987,111.494202,13.929499
