iter,gbest
0,353.95877
1,331.771
2,315.5264
3,315.5264
4,307.82111
5,276.06982
6,276.06982
7,276.06982
8,276.06982
9,276.06982
10,276.06982
11,276.06982
12,276.06982
13,276.06982
14,275.93594
15,275.93594
16,275.93594
17,275.93594
18,275.93594
19,275.93594
20,266.91351
21,256.87866
22,237.54926
23,237.54926
24,233.89996
25,233.89996
26,233.89996
27,231.99362
28,231.99362
29,231.99362
30,227.95651
31,227.95651
32,217.56575
33,217.56575
34,217.56575
35,200.4599
36,200.4599
37,200.4599
38,200.4599
39,200.4599
40,200.4599
41,200.4599
42,200.4599
43,200.4599
44,200.4599
45,200.4599
46,191.27634
47,190.94337
48,186.15862
49,184.29312
50,183.67249
51,183.67249
52,178.83267
53,174.90895
54,173.3499
55,166.68474
56,166.68474
57,166.68474
58,166.12222
59,164.39648
60,161.77669
61,161.77669
62,161.77669
63,160.89641
64,157.46674
65,157.46674
66,151.83395
67,151.81171
68,149.9966
69,147.12517
70,147.12517
71,145.98708
72,144.49576
73,144.49576
74,144.33185
75,143.42813
76,143.42813
77,141.94215
78,139.18832
79,138.83743
80,136.76126
81,124.12492
82,115.22417
83,115.22417
84,115.03323
85,111.88802
86,111.11595
87,111.11595
88,111.11595
89,109.27295
90,109.27295
91,109.27295
92,108.59256
93,108.59256
94,107.17146
95,107.05409
96,106.41816
97,106.41816
98,106.2971
99,106.04926
100,106.00818
101,104.88908
102,104.88908
103,103.18826
104,103.0246
105,103.0246
106,103.0246
107,103.0246
108,101.38013
109,101.38013
110,101.38013
111,101.27602
112,100.71315
113,100.71315
114,98.988609
115,97.444374
116,97.444374
117,97.444374
118,97.380424
119,97.380424
120,97.380424
121,97.380424
122,97.380424
123,97.380424
124,97.380424
125,95.821083
126,95.411163
127,95.411163
128,95.092377
129,95.092377
130,92.121613
131,92.121613
132,90.38147
133,87.891243
134,87.891243
135,87.143394
136,85.721298
137,85.721298
138,85.721298
139,83.958969
140,83.743782
141,83.673386
142,83.673386
143,82.775978
144,82.179314
145,82.179314
146,82.179314
147,82.179314
148,81.559334
149,81.559334
150,81.559334
151,81.559334
152,81.559334
153,81.559334
154,81.307381
155,81.307381
156,79.937607
157,79.937607
158,79.937607
159,79.901657
160,79.901657
161,78.98053
162,78.98053
163,78.98053
164,78.574989
165,78.574989
166,78.493675
167,78.493675
168,78.493675
169,78.493675
170,78.12529
171,78.12529
172,77.080017
173,77.080017
174,77.050476
175,77.050476
176,77.050476
177,75.80793
178,74.181946
179,71.254005
180,71.254005
181,71.008362
182,70.123291
183,69.998848
184,69.998848
185,69.998848
186,69.406197
187,69.406197
188,69.406197
189,68.909584
190,68.909584
191,68.909584
192,68.909584
193,68.909584
194,68.859024
195,68.79451
196,68.79451
197,68.697533
198,68.119019
199,67.856316
200,67.730209
201,67.309586
202,67.237823
203,66.585991
204,66.513115
205,66.513115
206,66.407211
207,66.313171
208,66.206856
209,66.206856
210,66.176819
211,66.027718
212,65.912544
213,65.749603
214,65.625023
215,65.625023
216,65.603096
217,65.59819
218,65.523293
219,65.480751
220,65.330933
221,65.330933
222,65.330933
223,65.307022
224,65.209427
225,65.163025
226,65.064957
227,64.980377
228,64.902161
229,64.902161
230,64.852142
231,64.852142
232,64.830688
233,64.830688
234,64.80822
235,64.789558
236,64.785492
237,64.775597
238,64.753838
239,64.749329
240,64.742249
241,64.74173
242,64.74173
243,64.737923
244,64.727592
245,64.725433
246,64.716713
247,64.712334
248,64.712334
249,64.708008
250,64.708008
251,64.704964
252,64.699768
253,64.699768
254,64.699768
255,64.698112
256,64.69529
257,64.69529
258,64.690529
259,64.690529
260,64.690529
261,64.689278
262,64.685028
263,64.684639
264,64.680122
265,64.679977
266,64.679977
267,64.679977
268,64.679977
269,64.679695
270,64.679321
271,64.678986
272,64.677933
273,64.676605
274,64.675751
275,64.67569
276,64.675461
277,64.674522
278,64.674507
279,64.674217
280,64.674194
281,64.673988
282,64.673866
283,64.673676
284,64.673553
285,64.673401
286,64.673195
287,64.673157
288,64.673042
289,64.672821
290,64.672821
291,64.672684
292,64.672684
293,64.672661
294,64.672523
295,64.055099
296,61.801323
297,60.996506
298,60.732056
299,60.732056
300,60.732056
301,60.727623
302,60.721874
303,60.720428
304,60.720428
305,60.717579
306,60.717579
307,60.715714
308,60.71262
309,60.71262
310,60.707085
311,60.707085
312,60.70335
313,60.70335
314,60.70335
315,60.702656
316,60.702656
317,60.702515
318,60.702515
319,60.702515
320,60.699924
321,60.699924
322,60.699894
323,60.699802
324,60.697552
325,60.697552
326,60.697182
327,60.697182
328,60.697182
329,60.697182
330,60.697182
331,60.69664
332,60.695946
333,60.695923
334,60.695507
335,60.695507
336,60.695095
337,60.694336
338,60.69408
339,60.693596
340,60.693596
341,60.693508
342,60.693508
343,60.693401
344,60.693371
345,60.693169
346,60.693161
347,60.693161
348,60.693027
349,60.693001
350,60.693001
351,60.69294
352,60.692898
353,60.692837
354,60.692829
355,60.692783
356,60.692783
357,60.692783
358,60.692783
359,60.69273
360,60.692669
361,60.692661
362,60.6926
363,60.692562
364,60.692547
365,60.692482
366,60.692482
367,60.692471
368,60.692467
369,60.69244
370,60.69244
371,60.69244
372,60.692421
373,60.692398
374,60.692398
375,60.692398
376,60.692398
377,60.692394
378,60.692383
379,60.692379
380,60.692379
381,60.692379
382,60.692379
383,60.692379
384,60.692375
385,60.692375
386,60.692375
387,60.692375
388,60.692375
389,60.692375
390,60.692375
391,60.692375
392,60.692375
393,60.692375
394,60.692375
395,60.692375
396,60.692375
397,60.692375
398,60.692375
399,60.692375
400,60.692375
401,60.692375
402,60.692375
403,60.692375
404,60.692375
405,60.692375
406,60.692375
407,60.692375
408,60.692375
409,60.692375
410,60.692375
411,60.692375
412,60.692375
413,60.692375
414,60.692375
415,60.692375
416,60.692375
417,60.692375
418,60.692375
419,60.692375
420,60.692375
421,60.692375
422,60.692375
423,60.692375
424,60.692375
425,60.692375
426,60.692375
427,60.692375
428,60.692375
429,60.692375
430,60.692375
431,60.692375
432,60.692375
433,60.692375
434,60.692375
435,60.692375
436,60.692375
437,60.692375
438,60.692375
439,60.692375
440,60.692375
441,60.692375
442,60.692375
443,60.692375
444,60.692375
445,60.692375
446,60.692375
447,60.692375
448,60.692375
449,60.692375
450,60.692375
451,60.692375
452,60.692375
453,60.692375
454,60.692375
455,60.692375
456,60.692375
457,60.692375
458,60.692375
459,60.692375
460,60.692375
461,60.692375
462,60.692375
463,60.692375
464,60.692375
465,60.692375
466,60.692375
467,60.692375
468,60.692375
469,60.692375
470,60.692375
471,60.692375
472,60.692375
473,60.692375
474,60.692375
475,60.692375
476,60.692375
477,60.692375
478,60.692375
479,60.692375
480,60.692375
481,60.692375
482,60.692375
483,60.692375
484,60.692375
485,60.692375
486,60.692375
487,60.692375
488,60.692375
489,60.692375
490,60.692375
491,60.692375
492,60.692375
493,60.692375
494,60.692375
495,60.692375
496,60.692375
497,60.692375
498,60.692375
499,60.692375
500,60.692375
501,60.692375
502,60.692375
503,60.692375
504,60.692375
505,60.692375
506,60.692375
507,60.692375
508,60.692375
509,60.692375
510,60.692375
511,60.692375
512,60.692375
513,60.692375
514,60.692375
515,60.692375
516,60.692375
517,60.692375
518,60.692375
519,60.692375
520,60.692375
521,60.692375
522,60.692375
523,60.692375
524,60.692375
525,60.692375
526,60.692375
527,60.692375
528,60.692375
529,60.692375
530,60.692375
531,60.692375
532,60.692375
533,60.692375
534,60.692375
535,60.692375
536,60.692375
537,60.692375
538,60.692375
539,60.692375
540,60.692375
541,60.692375
542,60.692375
543,60.692375
544,60.692375
545,60.692375
546,60.692375
547,60.692375
548,60.692375
549,60.692375
550,60.692375
551,60.692375
552,60.692375
553,60.692375
554,60.692375
555,60.692375
556,60.692375
557,60.692375
558,60.692375
559,60.692375
560,60.692375
561,60.692375
562,60.692375
563,60.692375
564,60.692375
565,60.692375
566,60.692375
567,60.692375
568,60.692375
569,60.692375
570,60.692375
571,60.692375
572,60.692375
573,60.692375
574,60.692375
575,60.692375
576,60.692375
577,60.692375
578,60.692375
579,60.692375
580,60.692375
581,60.692375
582,60.692375
583,60.692375
584,60.692375
585,60.692375
586,60.692375
587,60.692375
588,60.692375
589,60.692375
590,60.692375
591,60.692375
592,60.692375
593,60.692375
594,60.692375
595,60.692375
596,60.692375
597,60.692375
598,60.692375
599,60.692375
600,60.692375
601,60.692375
602,60.692375
603,60.692375
604,60.692375
605,60.692375
606,60.692375
607,60.692375
608,60.692375
609,60.692375
610,60.692375
611,60.692375
612,60.692375
613,60.692375
614,60.692375
615,60.692375
616,60.692375
617,60.692375
618,60.692375
619,60.692375
620,60.692375
621,60.692375
622,60.692375
623,60.692375
624,60.692375
625,60.692375
626,60.692375
627,60.692375
628,60.692375
629,60.692375
630,60.692375
631,60.692375
632,60.692375
