impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,levy,256,30,1000,4,20.727871,5.004872,6.875196,32.607941,7.6427419e-15,6.626116,4.710509
gpu,levy,256,30,1000,5,20.271490,5.110045,6.909600,32.291134,7.6427419e-15,6.691125,4.756724
gpu,levy,256,100,1000,1,64.078392,5.085984,9.956257,79.120636,3.3359666,9.072526,6.471131
gpu,levy,256,100,1000,2,64.111641,5.178784,9.943377,79.233803,0.0047622276,9.059568,6.461889
gpu,levy,256,100,1000,3,64.035759,5.119804,9.946547,79.102112,0.98804766,9.074650,6.472646
gpu,levy,256,100,1000,4,64.155403,5.247517,9.930584,79.333511,0.97533548,9.048181,6.453767
gpu,levy,256,100,1000,5,64.292252,5.194240,9.940664,79.427155,2.2243159,9.037514,6.446158
gpu,levy,1024,10,1000,1,9.837513,5.558693,6.502254,21.898460,7.6427419e-15,13.280203,9.352256
gpu,levy,1024,10,1000,2,9.820868,5.583494,6.475158,21.879520,7.6427419e-15,13.291699,9.360351
gpu,levy,1024,10,1000,3,9.829203,5.574083,6.476625,21.879911,7.6427419e-15,13.291461,9.360184
gpu,levy,1024,10,1000,4,9.807334,5.595850,6.454097,21.857281,7.6427419e-15,13.305223,9.369876
gpu,levy,1024,10,1000,5,9.820297,5.590472,6.450998,21.861767,7.6427419e-15,13.302493,9.367953
gpu,levy,1024,30,1000,1,20.492336,5.607176,7.318305,33.417816,7.6427419e-15,25.862133,18.385402
gpu,levy,1024,30,1000,2,20.501003,5.561191,7.363203,33.425400,7.6427419e-15,25.856265,18.381231
gpu,levy,1024,30,1000,3,20.483521,5.532935,7.260482,33.276936,7.6427419e-15,25.971622,18.463239
gpu,levy,1024,30,1000,4,20.410900,5.532875,7.210205,33.153980,7.6427419e-15,26.067941,18.531712
gpu,levy,1024,30,1000,5,20.579844,5.547237,7.293795,33.420876,7.6427419e-15,25.859765,18.383719
gpu,levy,1024,100,1000,1,64.635887,5.643398,11.152477,81.431763,2.1647051e-07,35.260148,25.149892
gpu,levy,1024,100,1000,2,64.523560,5.602312,11.105947,81.231819,3.3526906e-08,35.346937,25.211795
gpu,levy,1024,100,1000,3,63.559399,5.678249,11.020690,80.258339,0.97371292,35.775672,25.517598
