impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,rastrigin,1024,30,500,42,6.866087,2.693155,3.586019,13.145260,49.747841,32.873295,23.369641
gpu,rastrigin,4096,30,500,42,7.148739,3.525794,4.052231,14.726764,17.909294,117.372155,83.439921
gpu,rastrigin,16384,30,500,42,10.826438,3.673057,20.180973,34.680466,15.919357,199.364336,141.728201
gpu,rastrigin,65536,30,500,42,47.558834,3.970115,91.342049,142.871002,8.9546442,193.574564,137.612249
