ring,rastrigin,1,2097152,30,500,42,1170.261963,14.389119,2905.015137,3656.750244,7746.416504,1.6418772
ring,rastrigin,1,8388608,30,500,42,4248.354492,38.921951,11712.950195,16116.269531,32116.496094,0
fc,rastrigin,1,2097152,30,500,42,1104.927856,14.523002,2901.065430,2868.358887,6888.875000,0.99497318
fc,rastrigin,1,8388608,30,500,42,4167.275391,39.106525,11683.552734,11957.641602,27847.576172,0
ring,rastrigin,4,2097152,30,500,42,1185.946899,14.617013,2896.451416,4065.855469,8162.871094,0
ring,rastrigin,4,8388608,30,500,42,4215.800293,39.150604,11684.414062,18424.931641,34364.296875,0
fc,rastrigin,4,2097152,30,500,42,1136.745605,14.595034,2899.750977,3687.122314,7738.213867,0
fc,rastrigin,4,8388608,30,500,42,4195.849121,39.144867,11688.164062,17035.611328,32958.769531,0
ring,rastrigin,16,2097152,30,500,42,1156.203735,14.536759,2900.927979,4697.067383,8768.736328,0
ring,rastrigin,16,4194304,30,500,42,2437.978027,23.201374,5830.648438,9396.329102,17688.156250,0
fc,rastrigin,16,2097152,30,500,42,1145.412964,14.456483,2903.192627,43321.351562,47384.414062,0
fc,rastrigin,16,4194304,30,500,42,2397.995117,23.161451,5840.592285,81195.515625,89457.265625,0
ring,rastrigin,1,524288,100,500,42,1444.184082,6.468645,2202.761475,2548.913574,6202.327637,187.25142
ring,rastrigin,1,2097152,100,500,42,5311.584961,14.477534,8845.169922,8821.815430,22993.046875,84.602043
fc,rastrigin,1,524288,100,500,42,1376.822998,6.805635,2199.850830,2356.816895,5940.296387,193.46893
fc,rastrigin,1,2097152,100,500,42,5415.632812,14.604249,8838.084961,7738.912109,22007.234375,46.940701
ring,rastrigin,4,524288,100,500,42,1362.320068,6.619811,2199.886719,2686.110596,6254.937500,135.32596
ring,rastrigin,4,2097152,100,500,42,4852.973633,14.384078,8839.666016,9531.413086,23238.437500,39.075169
fc,rastrigin,4,524288,100,500,42,1324.577026,6.696099,2199.446533,2735.184570,6265.904297,125.82795
fc,rastrigin,4,2097152,100,500,42,5081.367188,14.655134,8837.570312,8987.329102,22920.921875,72.93084
ring,rastrigin,16,524288,100,500,42,1266.305908,6.643814,2199.807617,3118.968018,6591.725586,108.54451
ring,rastrigin,16,1048576,100,500,42,2638.165283,9.431228,4408.270996,5817.886719,12873.753906,50.418083
fc,rastrigin,16,524288,100,500,42,1347.671265,6.508708,2202.493408,33916.296875,37472.968750,88.635788
fc,rastrigin,16,1048576,100,500,42,2516.886475,9.189054,4416.107422,63752.359375,70694.539062,80.353371
ring,rastrigin,1,131072,300,500,42,1247.389404,4.547265,1578.549438,2232.701904,5063.187988,1335.6238
ring,rastrigin,1,524288,300,500,42,4773.296387,6.621474,6326.611328,6902.390137,18008.919922,1178.0835
fc,rastrigin,1,131072,300,500,42,947.644592,4.616544,1577.085205,2179.831543,4709.177734,3359.4368
fc,rastrigin,1,524288,300,500,42,4792.414062,6.676099,6321.737305,6595.411133,17716.238281,1158.8962
ring,rastrigin,4,131072,300,500,42,1153.974121,4.681859,1576.546997,2335.097168,5070.300293,1488.0577
ring,rastrigin,4,524288,300,500,42,4239.225586,6.750659,6317.729980,7520.075684,18083.781250,1124.4125
fc,rastrigin,4,131072,300,500,42,1161.170410,4.656354,1576.738159,2334.340332,5076.905273,1503.4979
fc,rastrigin,4,524288,300,500,42,4429.483398,6.721187,6317.342773,7362.675781,18116.222656,1102.6665
ring,rastrigin,16,131072,300,500,42,1145.566650,4.681824,1576.898315,2821.603760,5548.750977,1332.8927
ring,rastrigin,16,524288,300,500,42,4462.343750,6.718788,6319.416992,8584.077148,19372.556641,1108.3713
fc,rastrigin,16,131072,300,500,42,1163.597900,4.543202,1578.181519,25292.000000,28038.322266,1329.4675
